UMAP_1	UMAP_2	Highlight	cell_id
6.662215223	-9.976841393	none	cell1
6.749288072	-9.100167695	none	cell2
5.966757288	-6.504635754	none	cell3
6.064723959	-6.443495694	none	cell4
6.758797636	-4.861551705	none	cell5
9.930025091	-7.035303536	none	cell6
5.91572999	-10.81187862	none	cell7
5.267507543	-11.00977844	none	cell8
4.837714185	-10.99285072	none	cell9
5.622275819	-9.215431634	none	cell10
11.09442328	-6.63693327	none	cell11
4.935302248	-11.07397789	none	cell12
6.617843618	-9.750366631	none	cell13
6.092039575	-9.069449845	none	cell14
7.170139303	-4.799079838	none	cell15
4.747137537	-10.97382015	none	cell16
10.97939776	-6.420005742	none	cell17
5.033503046	-10.28739685	none	cell18
5.370243539	-9.16980404	none	cell19
5.617778768	-11.26836247	none	cell20
5.70792531	-11.10157913	none	cell21
4.908150663	-10.77195877	none	cell22
6.426308622	-10.32876343	none	cell23
4.96548604	-11.13194698	none	cell24
6.316340913	-9.8725943	none	cell25
5.255949011	-11.59536594	none	cell26
6.493138303	-10.24103493	none	cell27
5.109397878	-10.3665089	none	cell28
6.003040781	-6.854115429	none	cell29
6.174734106	-10.5369038	none	cell30
11.13877677	-6.475634518	none	cell31
6.613278856	-4.681056443	none	cell32
6.101781835	-6.680836144	none	cell33
6.706486215	-9.991435471	none	cell34
6.646286955	-5.17467064	none	cell35
5.462493887	-9.431116524	none	cell36
6.5815277	-10.0922913	none	cell37
4.571497907	-11.06672043	none	cell38
4.4624648	-10.5253529	none	cell39
5.673152437	-11.38149971	none	cell40
6.250895967	-10.88518948	none	cell41
6.306022157	-10.41000504	none	cell42
6.785623541	-9.737676087	none	cell43
11.26700591	-6.50558323	none	cell44
11.03713035	-6.436077061	none	cell45
6.638752451	-10.20190949	none	cell46
6.725924005	-5.345309201	none	cell47
6.19768094	-9.71350998	none	cell48
11.19354152	-6.534974518	none	cell49
5.369148245	-9.687574807	none	cell50
6.604854574	-9.897052231	none	cell51
6.933739652	-4.279254618	none	cell52
6.434586038	-5.30250496	none	cell53
5.816793432	-10.67515892	none	cell54
6.675338258	-4.973689976	none	cell55
6.177649965	-10.6010117	none	cell56
4.867725362	-11.26621956	none	cell57
4.921647062	-11.69866127	none	cell58
6.33438157	-9.77129406	none	cell59
6.541164865	-10.05113548	none	cell60
5.296226015	-10.66415161	none	cell61
5.315644254	-9.684569779	none	cell62
6.966847887	-5.371271554	none	cell63
6.914905061	-4.055634442	none	cell64
6.815897932	-5.21876854	none	cell65
5.035085191	-10.99880261	none	cell66
6.64651679	-6.182684842	none	cell67
5.704441061	-9.369670334	none	cell68
5.804107656	-11.24824471	none	cell69
5.544853677	-9.74779171	none	cell70
7.22167634	-6.486378136	none	cell71
6.722992887	-6.990529957	none	cell72
5.703966608	-8.815548363	none	cell73
5.169029226	-10.3714146	none	cell74
5.238002767	-9.638814393	none	cell75
10.84888362	-6.510383549	none	cell76
5.685400953	-10.9033131	none	cell77
6.827275266	-4.558879796	none	cell78
7.067889681	-5.318590584	none	cell79
7.39273261	-7.214842263	none	cell80
6.174050321	-10.71318382	none	cell81
4.933350076	-10.87965721	none	cell82
5.49480628	-10.46768135	none	cell83
6.051994314	-10.51614231	none	cell84
5.230195036	-11.15944523	none	cell85
