gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
AADAT	612.495654123477	-2.708816972430263	0.21284421251440538	1.7570598027560784e-38	1.0455337242709119e-36
ABCB5	22.689296837777462	4.9119402052307715	0.5705788931695928	4.2774137578148926e-20	5.610907907765112e-19
ACAN	75.81665804373421	3.553697621317701	0.3230345399586214	1.8725505301430513e-29	5.790478795096455e-28
ACPT	13.66392766925384	3.4247995745508826	0.3974481396941883	3.0419148542603503e-19	3.69758069220721e-18
ACSL4	12151.829340983799	2.1031251630553354	0.275316531387999	1.2095141777840132e-15	1.0314225106482749e-14
ACTL8	39.28562341639803	6.257493455428209	0.681515276782815	3.8580714151736844e-23	6.664359075496448e-22
ACTN2	356.84349951955727	4.2460105214886035	0.3842261844558284	5.6497683021360046e-30	1.8217364014220763e-28
ADAM11	36.45680106748247	2.2433040071791717	0.26457301935474453	1.2054215912755898e-18	1.3755515714598579e-17
ADAM23	106.64927484026961	2.574970273875212	0.3337978662004344	5.139833195942918e-16	4.55604669055786e-15
ADAMDEC1	60.18132978457808	2.1833780249731363	0.330100744221186	1.813899268680915e-12	1.109454666184439e-11
ADAMTS13	514.7820947996928	-2.7766256338744038	0.14724535280971457	1.0837264374592904e-80	7.571233996220221e-78
ADAMTS16	149.03147508775436	3.534885879408442	0.38895135928266195	4.545276010017762e-21	6.554857903437695e-20
ADAMTS18	12.762542177442775	3.000196943768871	0.4002748474081939	2.6367274013151094e-15	2.1709554330426414e-14
ADAMTS20	3.570149558403367	3.010703695960974	0.6484737904289338	9.57541442030891e-8	3.3165817519332896e-7
ADCY8	34.95532915049657	2.0355836391398205	0.6279176196969026	3.061662613315146e-5	7.681849145379568e-5
ADH4	44637.30908281695	-2.1961820422173046	0.3151436860750723	1.5972033520186438e-13	1.0975609045219554e-12
ADIG	5.670531010746142	2.2842372542815803	0.4721425667319339	4.6257635887719224e-8	1.6666338607146566e-7
ADM2	727.6381847990983	2.148523303862946	0.2072285010931591	2.100497323801611e-26	4.867528380696535e-25
ADRA1A	517.8640222073734	-2.9947405955142834	0.3065677846623278	6.5412628126093676e-24	1.1979401983907814e-22
ADRA1D	34.320531996634365	2.1382594779935817	0.40553717722090704	5.419690565361257e-9	2.1858375696901734e-8
ADRA2B	126.99050124463315	-2.1745252616299986	0.168975107285181	4.1323716136462103e-39	2.522618956252701e-37
ADRA2C	254.75035852950836	3.284345355579735	0.3048319866766812	2.180466200074596e-28	6.0485491076481034e-27
AFF2	22.020903077731383	3.308593414169198	0.41973427429593724	1.3471163927222474e-16	1.2705328257959875e-15
AFP	14822.725523057898	5.945081824103754	0.4517316583914474	1.2000192927621208e-42	9.16435786209388e-41
AGR2	252.39497756537418	2.4373557703216187	0.5317389057788243	1.448068851760516e-7	4.895147446372512e-7
AIM1L	137.35243940371777	2.4750379433148306	0.2181641604085881	3.6091978314690738e-31	1.2773039154784454e-29
AIRE	4.190826281156504	2.5938556044095757	0.47613901798292874	1.8382518963517339e-9	7.871724295319581e-9
AKAP14	2.5062353444734646	2.7464562251185867	0.4956122788240419	1.055801943420656e-9	4.66407308167303e-9
AKR1B10	25501.31455359852	3.534417106983687	0.3704147967499729	6.514293191277234e-23	1.1000815798304607e-21
AKR1B15	266.1832902421961	3.7370077929549295	0.4159369793307522	1.0820537620663223e-20	1.5018969914537921e-19
ALDH3A1	5791.985975423404	5.03356782397824	0.46216567240590906	5.540513310728475e-30	1.7895668250046444e-28
ALG1L	294.511824138637	3.351778000741598	0.27040824170022526	1.412785732671001e-36	7.301199253526875e-35
ALOX15B	86.39933979642026	2.8514242555368727	0.3626169102620677	1.49877105523769e-16	1.4037397425495802e-15
ALPI	79.20857205075782	6.1782608146848315	0.6319216202525982	1.2386221080486928e-25	2.643000998203902e-24
ALX1	3.5202023581119346	2.7460863753051585	1.2235506470375552	2.8328452731345524e-4	6.199067330294322e-4
ALX3	7.410399546118329	4.500087264996917	0.7344667856147704	1.002262240444188e-11	5.6317166045572596e-11
AMBN	5.596208194087058	3.981426219444252	0.7690630453518388	4.199861422986193e-9	1.715875807272873e-8
AMH	24.195083760233587	2.1915934974312203	0.3169904272113885	2.3526566354420383e-13	1.5843685153282103e-12
AMHR2	10.159122080421119	-2.8402326937952926	0.38949702026226446	1.2035228127232336e-14	9.239743922018052e-14
AMPD1	3.98550556455402	-2.134665620788027	0.41454543924231724	1.0280716180187529e-8	4.003409358110598e-8
