UMAP_1	UMAP_2	CellType	cell_id
6.662215223	-9.976841393	Macrophages	cell1
6.749288072	-9.100167695	Macrophages	cell2
5.966757288	-6.504635754	DCs	cell3
6.064723959	-6.443495694	DCs	cell4
6.758797636	-4.861551705	DCs	cell5
9.930025091	-7.035303536	Monocytes	cell6
5.91572999	-10.81187862	Macrophages	cell7
5.267507543	-11.00977844	Macrophages	cell8
4.837714185	-10.99285072	Macrophages	cell9
5.622275819	-9.215431634	Macrophages	cell10
11.09442328	-6.63693327	Monocytes	cell11
4.935302248	-11.07397789	Macrophages	cell12
6.617843618	-9.750366631	Macrophages	cell13
6.092039575	-9.069449845	Macrophages	cell14
7.170139303	-4.799079838	DCs	cell15
4.747137537	-10.97382015	Macrophages	cell16
10.97939776	-6.420005742	Monocytes	cell17
5.033503046	-10.28739685	Macrophages	cell18
5.370243539	-9.16980404	Macrophages	cell19
5.617778768	-11.26836247	Macrophages	cell20
5.70792531	-11.10157913	Macrophages	cell21
4.908150663	-10.77195877	Macrophages	cell22
6.426308622	-10.32876343	Macrophages	cell23
4.96548604	-11.13194698	Macrophages	cell24
6.316340913	-9.8725943	Macrophages	cell25
5.255949011	-11.59536594	Macrophages	cell26
6.493138303	-10.24103493	Macrophages	cell27
5.109397878	-10.3665089	Macrophages	cell28
6.003040781	-6.854115429	DCs	cell29
6.174734106	-10.5369038	Macrophages	cell30
11.13877677	-6.475634518	Monocytes	cell31
6.613278856	-4.681056443	DCs	cell32
6.101781835	-6.680836144	DCs	cell33
6.706486215	-9.991435471	Macrophages	cell34
6.646286955	-5.17467064	DCs	cell35
5.462493887	-9.431116524	Macrophages	cell36
6.5815277	-10.0922913	Macrophages	cell37
4.571497907	-11.06672043	Macrophages	cell38
4.4624648	-10.5253529	Macrophages	cell39
5.673152437	-11.38149971	Macrophages	cell40
6.250895967	-10.88518948	Macrophages	cell41
6.306022157	-10.41000504	Macrophages	cell42
6.785623541	-9.737676087	Macrophages	cell43
11.26700591	-6.50558323	Monocytes	cell44
11.03713035	-6.436077061	Monocytes	cell45
6.638752451	-10.20190949	Macrophages	cell46
6.725924005	-5.345309201	DCs	cell47
6.19768094	-9.71350998	Macrophages	cell48
11.19354152	-6.534974518	Monocytes	cell49
5.369148245	-9.687574807	Macrophages	cell50
6.604854574	-9.897052231	Macrophages	cell51
6.933739652	-4.279254618	DCs	cell52
6.434586038	-5.30250496	DCs	cell53
5.816793432	-10.67515892	Macrophages	cell54
6.675338258	-4.973689976	DCs	cell55
6.177649965	-10.6010117	Macrophages	cell56
4.867725362	-11.26621956	Macrophages	cell57
4.921647062	-11.69866127	Macrophages	cell58
6.33438157	-9.77129406	Macrophages	cell59
6.541164865	-10.05113548	Macrophages	cell60
5.296226015	-10.66415161	Macrophages	cell61
5.315644254	-9.684569779	Macrophages	cell62
6.966847887	-5.371271554	DCs	cell63
6.914905061	-4.055634442	DCs	cell64
6.815897932	-5.21876854	DCs	cell65
5.035085191	-10.99880261	Macrophages	cell66
6.64651679	-6.182684842	DCs	cell67
5.704441061	-9.369670334	Macrophages	cell68
5.804107656	-11.24824471	Macrophages	cell69
5.544853677	-9.74779171	Macrophages	cell70
7.22167634	-6.486378136	DCs	cell71
6.722992887	-6.990529957	DCs	cell72
5.703966608	-8.815548363	Macrophages	cell73
5.169029226	-10.3714146	Macrophages	cell74
5.238002767	-9.638814393	Macrophages	cell75
10.84888362	-6.510383549	Monocytes	cell76
5.685400953	-10.9033131	Macrophages	cell77
6.827275266	-4.558879796	DCs	cell78
7.067889681	-5.318590584	DCs	cell79
7.39273261	-7.214842263	DCs	cell80
6.174050321	-10.71318382	Macrophages	cell81
4.933350076	-10.87965721	Macrophages	cell82
5.49480628	-10.46768135	Macrophages	cell83
6.051994314	-10.51614231	Macrophages	cell84
5.230195036	-11.15944523	Macrophages	cell85
6.537958135	-9.949566308	Macrophages	cell86
6.882119646	-5.04427475	DCs	cell87
5.838011255	-11.31361622	Macrophages	cell88
6.982908239	-6.238229695	DCs	cell89
11.03856181	-6.620131913	Monocytes	cell90
6.217096796	-10.56192535	Macrophages	cell91
6.211125841	-10.91060776	Macrophages	cell92
6.831760397	-4.669739667	DCs	cell93
5.962100019	-9.405752602	Macrophages	cell94
5.417599191	-9.464096489	Macrophages	cell95
6.141661157	-10.89884323	Macrophages	cell96
5.185593595	-11.08923573	Macrophages	cell97
6.448137273	-10.62199158	Macrophages	cell98
5.027933111	-10.94887108	Macrophages	cell99
4.820745458	-10.95754475	Macrophages	cell100
5.664993753	-9.207221451	Macrophages	cell101
5.064222326	-11.13092274	Macrophages	cell102
6.847202291	-4.113248053	DCs	cell103
4.951976289	-10.84249062	Macrophages	cell104
6.660437574	-5.280142727	DCs	cell105
5.17670249	-11.37517208	Macrophages	cell106
