ID	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	d
HIST1H4C	0	2.429241756406218	0.475	0.179	0	nonMalignant	HIST1H4C	0.296
CXCR4	0	2.316313869057402	0.618	0.122	0	nonMalignant	CXCR4	0.496
SRGN	0	2.1708104826110604	0.719	0.264	0	nonMalignant	SRGN	0.45499999999999996
HMGB2	0	2.1216324290528386	0.539	0.274	0	nonMalignant	HMGB2	0.265
CCL5	0	2.0637168721726264	0.467	0.075	0	nonMalignant	CCL5	0.392
RGS1	0	2.0301691842803535	0.55	0.118	0	nonMalignant	RGS1	0.43200000000000005
S100A4	0	1.9855797587939734	0.523	0.147	0	nonMalignant	S100A4	0.376
NKG7	0	1.9259450009894397	0.413	0.059	0	nonMalignant	NKG7	0.354
ARHGDIB	0	1.88589722912634	0.582	0.107	0	nonMalignant	ARHGDIB	0.475
CD52	0	1.7623480591300664	0.475	0.101	0	nonMalignant	CD52	0.374
GZMA	0	1.734596370539071	0.371	0.039	0	nonMalignant	GZMA	0.332
CORO1A	0	1.706501321450897	0.467	0.048	0	nonMalignant	CORO1A	0.41900000000000004
TMSB4X	0	1.6797460459051274	0.998	0.943	0	nonMalignant	TMSB4X	0.05500000000000005
BTG1	0	1.5435833005191943	0.83	0.605	0	nonMalignant	BTG1	0.22499999999999998
PFN1	0	1.5401758051218946	0.929	0.837	0	nonMalignant	PFN1	0.09200000000000008
TSC22D3	0	1.5117893874717898	0.586	0.187	0	nonMalignant	TSC22D3	0.39899999999999997
B2M	0	1.4773280328646274	1	0.998	0	nonMalignant	B2M	0.0020000000000000018
ZFP36L2	0	1.3990278220326435	0.561	0.178	0	nonMalignant	ZFP36L2	0.38300000000000006
TRBC2	0	1.3706631405770437	0.407	0.049	0	nonMalignant	TRBC2	0.358
PTPRC	0	1.330392889187527	0.515	0.066	0	nonMalignant	PTPRC	0.449
HLA-B	0	1.319881104760503	0.967	0.867	0	nonMalignant	HLA-B	0.09999999999999998
SH3BGRL3	0	1.3021586770359581	0.75	0.529	0	nonMalignant	SH3BGRL3	0.22099999999999997
CD3D	0	1.285363753905217	0.384	0.065	0	nonMalignant	CD3D	0.319
GSTP1	0	1.2818885113286367	0.598	0.167	0	nonMalignant	GSTP1	0.43099999999999994
RAC2	0	1.241470181171277	0.449	0.041	0	nonMalignant	RAC2	0.40800000000000003
HLA-E	0	1.238216801604921	0.747	0.472	0	nonMalignant	HLA-E	0.275
HMGB1	0	1.2153898047734897	0.939	0.849	0	nonMalignant	HMGB1	0.08999999999999997
GMFG	0	1.1783844962131926	0.484	0.067	0	nonMalignant	GMFG	0.417
LCP1	0	1.128603014769319	0.455	0.065	0	nonMalignant	LCP1	0.39
IFI16	0	1.1053296044877154	0.484	0.078	0	nonMalignant	IFI16	0.40599999999999997
CD2	0	1.0263339948357886	0.361	0.037	0	nonMalignant	CD2	0.324
ARPC2	0	1.0252053431578612	0.743	0.645	0	nonMalignant	ARPC2	0.09799999999999998
CALM1	0	1.0042346221437277	0.768	0.582	0	nonMalignant	CALM1	0.18600000000000005
LSP1	0	1.0029917579270193	0.421	0.059	0	nonMalignant	LSP1	0.362
CST7	0	1.002625485446853	0.375	0.038	0	nonMalignant	CST7	0.337
IL2RG	0	0.8824639606494136	0.417	0.056	0	nonMalignant	IL2RG	0.361
CD53	0	0.870682296098847	0.433	0.049	0	nonMalignant	CD53	0.384
CYTIP	0	0.8646737340271302	0.405	0.041	0	nonMalignant	CYTIP	0.36400000000000005
CD3E	0	0.8578122945408836	0.359	0.033	0	nonMalignant	CD3E	0.32599999999999996
ELF1	2.5e-323	0.7353527120416784	0.443	0.075	5.7445e-319	nonMalignant	ELF1	0.368
ACTG1	3.672081927277e-312	1.1728472317280567	0.938	0.82	8.539059313690893e-308	nonMalignant	ACTG1	0.118
STMN1	5.7745056919e-312	1.461615954759515	0.638	0.558	1.3428035535939081e-307	nonMalignant	STMN1	0.07999999999999996
LDHB	1.125584145687464e-309	1.000441060507012	0.548	0.143	2.61743337238163e-305	nonMalignant	LDHB	0.405
HCST	2.059496666173873e-309	0.9409731974668367	0.436	0.075	4.789153547520725e-305	nonMalignant	HCST	0.361
TRAC	1.4806665961994848e-306	1.3061644521031304	0.363	0.051	3.443142102802282e-302	nonMalignant	TRAC	0.312
GYPC	2.634589116308204e-301	0.6914277182607015	0.407	0.061	6.126473531063098e-297	nonMalignant	GYPC	0.346
IQGAP1	1.660471160406647e-296	0.64326642371625	0.387	0.052	3.861259636409617e-292	nonMalignant	IQGAP1	0.335
CCL4	2.1432908086420303e-293	2.087427810586896	0.537	0.192	4.984008446416177e-289	nonMalignant	CCL4	0.34500000000000003
COTL1	2.7871985190732894e-293	1.2422891949718111	0.401	0.077	6.481351436253027e-289	nonMalignant	COTL1	0.324
EZR	7.54017525189736e-292	0.9258966779357747	0.51	0.15	1.753392353076212e-287	nonMalignant	EZR	0.36
SH2D1A	1.3485202609292317e-290	0.6144548221380348	0.272	0.013	3.1358490147648355e-286	nonMalignant	SH2D1A	0.259
SLA	3.2943621782788003e-287	0.6086757068394535	0.313	0.026	7.660709809369522e-283	nonMalignant	SLA	0.287
CD96	4.040576164082693e-284	0.5786886759018031	0.288	0.019	9.395955811957894e-280	nonMalignant	CD96	0.26899999999999996
HLA-C	2.192936016872155e-283	1.1173556350215637	0.95	0.855	5.0994534136345094e-279	nonMalignant	HLA-C	0.09499999999999997
TM4SF4	9.147951743562025e-277	0.45610087306712743	0.412	0.749	2.1272646984479133e-272	nonMalignant	TM4SF4	-0.337
ARL4C	6.7220176027464496e-273	0.6682938703881844	0.332	0.036	1.5631379733426595e-268	nonMalignant	ARL4C	0.29600000000000004
UCP2	3.6571711517905068e-270	0.7300644059281559	0.373	0.056	8.504385796373645e-266	nonMalignant	UCP2	0.317
LCK	6.578199806175715e-270	0.6359770405371222	0.287	0.023	1.529694582928101e-265	nonMalignant	LCK	0.26399999999999996
SAMSN1	4.957060672442646e-269	0.7312578924789036	0.352	0.048	1.152714888769813e-264	nonMalignant	SAMSN1	0.304
MKI67	8.190022826190211e-268	1.030337921121065	0.307	0.036	1.9045079080022716e-263	nonMalignant	MKI67	0.271
VIM	3.43412955743854e-267	1.4969311795563855	0.594	0.24	7.985724872867582e-263	nonMalignant	VIM	0.354
GNG2	4.402018084872998e-267	0.5283878187904112	0.286	0.021	1.023645285456367e-262	nonMalignant	GNG2	0.26499999999999996
ZFP36	7.387364428886796e-266	1.2554306251613694	0.662	0.373	1.7178577242933357e-261	nonMalignant	ZFP36	0.28900000000000003
CD69	1.343699189611147e-265	1.034307890162586	0.366	0.056	3.124638095521761e-261	nonMalignant	CD69	0.31
MYL12A	2.989543183769912e-262	0.8120974132501164	0.885	0.768	6.951883719538554e-258	nonMalignant	MYL12A	0.11699999999999999
LAPTM5	2.5779262924097987e-258	0.8795337362185078	0.453	0.111	5.994709800369746e-254	nonMalignant	LAPTM5	0.342
ALOX5AP	1.8044124678443043e-253	0.807920670046483	0.315	0.043	4.1959807527251453e-249	nonMalignant	ALOX5AP	0.272
RUNX3	6.40051329484848e-253	0.5362385314819288	0.258	0.016	1.4883753615840656e-248	nonMalignant	RUNX3	0.242
EVL	1.8745379448520573e-252	0.6917861832908282	0.368	0.064	4.359050536958974e-248	nonMalignant	EVL	0.304
ETS1	2.333632155227883e-251	0.5867994720572218	0.29	0.026	5.4266282137669194e-247	nonMalignant	ETS1	0.26399999999999996
WIPF1	5.562121171296987e-250	0.5481628311010963	0.324	0.04	1.2934156571734014e-245	nonMalignant	WIPF1	0.28400000000000003
CELF2	2.6416428297748293e-249	0.5142327581933097	0.283	0.025	6.142876236358388e-245	nonMalignant	CELF2	0.25799999999999995
CLEC2D	9.563987746248565e-247	0.6153402719877459	0.293	0.03	2.2240097105126414e-242	nonMalignant	CLEC2D	0.263
CD247	6.482680306897962e-246	0.5090887256730919	0.256	0.017	1.5074824785660522e-241	nonMalignant	CD247	0.239
SYNE2	4.093892530664722e-243	0.688393110564083	0.351	0.056	9.519937690807744e-239	nonMalignant	SYNE2	0.295
CREM	1.0564803713079467e-242	1.0674128913038774	0.429	0.162	2.4567394554394994e-238	nonMalignant	CREM	0.267
CRIP1	2.3522422916705303e-242	1.2109983265501127	0.347	0.067	5.469904225050651e-238	nonMalignant	CRIP1	0.27999999999999997
ISG20	3.851652574654839e-241	0.891752157731398	0.439	0.142	8.956632897102363e-237	nonMalignant	ISG20	0.29700000000000004
