gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
AAA1	3229.208064469663	6.970937802490015	0.4531138618490671	7.185206080420201e-55	1.7102761097540278e-53
AACSP1	645.914839472176	5.044662590967147	0.6243468363421825	1.53831211212296e-17	6.975886818740874e-17
AADACL3	6.0458079162621114	25.46779195031281	1.9290738068684499	4.107024833162781e-40	5.596317352676216e-39
AADAT	134819.06577306945	-2.0869945700443924	0.09898244991241252	1.2288085849823324e-99	1.200349165373434e-97
ABCA12	608.2068976623416	2.6136824141669606	0.28250441410474336	1.2579276486765667e-21	7.11050535881431e-21
ABCB5	2790.9980485805822	5.186634670143447	0.43695127399723327	6.788913027434052e-34	6.928621549708249e-33
ACAN	5119.684534229792	3.6840498045475414	0.2816814513269568	2.7862958095907137e-41	3.974258213869434e-40
ACCN2	12264.058943934571	2.9491795062630275	0.15985230239604378	1.4636329859864025e-77	7.274642803696734e-76
ACPT	681.8645802841693	2.0987288284575794	0.2409351466564413	2.6550262871993843e-19	1.3254572604127015e-18
ACSL4	971600.0909156178	2.86674460655993	0.15248278430425688	2.60439539202828e-80	1.4298827742364511e-78
ACTG2	23218.307551605427	2.2012785502550605	0.1757363024522309	5.439771732289735e-37	6.40649525778277e-36
ACTL8	1944.9752672655538	6.168634180769636	0.6713901563494418	1.9502550080619656e-21	1.0925398276295495e-20
ACTN2	31614.528570751627	4.136660830389409	0.2107692405457233	6.858805460474304e-88	4.704223258832908e-86
ADAD1	41.885942827064525	3.3637967646652576	1.5102919160603092	1.5604150988292475e-4	2.95814220827371e-4
ADAM18	13.618106393274862	26.67564832827428	1.2473315461200145	8.11101954425671e-102	8.281681267699215e-100
ADAM23	7687.929332971301	2.4436302182114575	0.20269293097840477	1.4636878625358224e-34	1.5397723365091296e-33
ADAM3A	7.12072820368776	23.49827436200828	1.8544754134896322	4.579869361518179e-37	5.4163916217325844e-36
ADAM6	40.263475882411555	3.9835591918251843	1.308596689955866	1.4396189280549526e-5	2.988757802163045e-5
ADAMTS13	121663.95050348209	-2.3047865720880236	0.0930381643447003	1.839232059363752e-136	4.1091357841131747e-134
ADAMTS16	9099.373154496036	2.5099816393976706	0.21108866632146264	9.676104389160846e-34	9.799878614964744e-33
ADAMTS20	711.6051831785622	4.5224228258967125	0.5959135221679304	3.7681773513305775e-16	1.5837012839034175e-15
