id	logFC	AveExpr	t	P.Value	adj.P.Val	B
SRSF3	-3.333714649	5.57428133221058	-98.68677298	1.80998728238752e-10	1.35829254247839e-06	14.2929508556946
SFPQ	-2.815925386	6.4246480120091	-92.12681359	2.68262351711867e-10	1.35829254247839e-06	14.0610700637018
IL1A	4.73632819071141	2.48698763995533	91.9430852896445	2.71343215033047e-10	1.35829254247839e-06	14.0541036033548
CDKN2B	3.57516103016559	3.26188780993756	87.7336739746206	3.547613561811e-10	1.35829254247839e-06	13.8867363587817
S100P	4.53665823250453	6.8484530837304	79.1844133730349	6.37678842928847e-10	1.95321029589106e-06	13.4952243177325
AATK	-3.349012203	2.2260380791651	-75.2627885	8.52616559223992e-10	2.08291365865381e-06	13.2886113234013
ABCC3	3.4630400615122	3.80818068306213	73.8251043430355	9.52033667030797e-10	2.08291365865381e-06	13.2080113363034
TFR2	-1.912114151	3.72647337553712	-67.03255069	1.65322028061906e-09	3.14367879781975e-06	12.7874102181683
NCL	-1.898640038	6.87564677998112	-65.74293067	1.84741163437008e-09	3.14367879781975e-06	12.6993775017821
SNRNP25	-2.488156268	5.64130642017429	-62.68556751	2.4254455393687e-09	3.52746273061999e-06	12.4789626162153
PPP1R10	-3.185400431	2.48460296001534	-62.20897207	2.53360039417695e-09	3.52746273061999e-06	12.4430399305284
HNRNPM	-2.983078655	6.76295073855401	-58.13445231	3.73154656821927e-09	4.05809055358973e-06	12.1172001743313
UHRF1	-2.584638935	4.81506523279026	-57.93120159	3.80699011878915e-09	4.05809055358973e-06	12.100019645107
AMH	-1.707116804	1.29698416548589	-56.63215724	4.33380756490583e-09	4.05809055358973e-06	11.9879967939266
LAMB3	2.65008218396608	6.65294100515752	55.4842482697921	4.87181213087845e-09	4.05809055358973e-06	11.885716188159
SYNCRIP	-1.858967813	6.43229292949084	-54.57878708	5.35207994022414e-09	4.05809055358973e-06	11.8027715047308
HSPE1	-2.383270066	9.44873891600028	-54.3610877	5.47571054127862e-09	4.05809055358973e-06	11.7825228800393
TRA2A	-1.696212115	4.6721690785759	-53.92226373	5.73526107280681e-09	4.05809055358973e-06	11.741339266389
PA2G4	-1.538685536	7.44717334102911	-53.91208727	5.74144944165099e-09	4.05809055358973e-06	11.740378325318
METTL25B	2.33057480922448	3.96620674701953	53.371527219714	6.08173230324731e-09	4.05809055358973e-06	11.6889466136326
BCLAF1	-2.011908054	4.52185625465802	-52.20387	6.90104014565783e-09	4.05809055358973e-06	11.5751955009296
VNN1	1.72291507762769	1.25066248573222	52.007851548076	7.05096282160394e-09	4.05809055358973e-06	11.5557355467843
ZNF83	1.66023815127338	3.76615263989461	51.6862109860665	7.30533757997885e-09	4.05809055358973e-06	11.5235726521754
RRAS	2.00166361673212	6.12587913244489	51.6269767003072	7.35335111777567e-09	4.05809055358973e-06	11.5176178183106
ARFGAP3	2.51246277260854	4.18341461221213	51.3103459854007	7.61637640609245e-09	4.05809055358973e-06	11.4856186027643
ESRP2	-2.164236303	4.1222319012622	-51.19762293	7.71267162179056e-09	4.05809055358973e-06	11.474157771391
