KEGG Pathway Term ID	KEGG Pathway Term Desc	Rich Ratio	Pvalue
01212	Fatty acid metabolism	0.187719298245614	0.006833441
04120	Ubiquitin mediated proteolysis	0.1780141843971631	0.000843217
00062	Fatty acid elongation	0.137037037037037	0.00094143
01200	Carbon metabolism	0.11304347826087	0.003578159
00790	Folate biosynthesis	0.1384615384615385	0.009349281999999999
04714	Thermogenesis	0.1776255707762557	0.008911226999999999
00051	Fructose and mannose metabolism	0.1606060606060606	0.008547134
00730	Thiamine metabolism	0.183333333333333	0.0044893459999999996
05225	Hepatocellular carcinoma	0.187724550898204	0.006740684
03410	Base excision repair	0.1909090909090909	0.006520589
04390	Hippo signaling pathway	0.14649681528662398	0.0375556
00010	Glycolysis / Gluconeogenesis	0.8746268656716418	0.008106946999999999
00970	Aminoacyl-tRNA biosynthesis	0.9681818181818182	0.008282575999999999
03030	DNA replication	0.1277777777777778	0.009773061
04110	Cell cycle	0.1252380952380952	0.006097570999999999
