Gene	RFA_G1_1	RFA_G1_2	RFA_G1_3	RFA_G4_1	RFA_G4_2	RFA_G4_3
CYBB	4.45	4.42	4.22	1.25	1.1	1.33
ACSL1	4.16	3.91	4.24	8.08	9.15	8.88
ACSL4	14.79	14.95	12.82	30.58	36.58	39.85
FTH1	10172.28	10485.34	10063.64	28387.67	28283.93	28572.74
HMOX1	63.61	68.15	64.19	18.8	16.4	16.98
ACSL5	0.71	0.66	0.56	3.75	4.66	4.69
STEAP3	28.05	28.66	30.39	9.91	10.55	11.2
SAT1	26.9	25.06	27.76	277.33	273.16	329.99
MAP1LC3B2	4.2	3.37	3.9	9.05	7.74	7.73
VDAC3	124.78	122.98	120.58	43.37	49.33	46.92
MAP1LC3B	45.64	46.69	47.09	105.05	101.99	95.53
MAP1LC3A	3.69	3.68	2.86	11.5	10.22	8.99
PTGS2	7.78	8.72	6.74	39.74	30.23	33.1
