UMAP_1	UMAP_2	CellType_final	RRM2_Group	cell_id
6.662215223	-9.976841393	Macrophages	RRM2low	cell1
6.749288072	-9.100167695	Macrophages	RRM2low	cell2
5.966757288	-6.504635754	DCs	RRM2low	cell3
6.064723959	-6.443495694	DCs	RRM2low	cell4
6.758797636	-4.861551705	DCs	RRM2low	cell5
9.930025091	-7.035303536	Monocytes	RRM2low	cell6
5.91572999	-10.81187862	Macrophages	RRM2low	cell7
5.267507543	-11.00977844	Macrophages	RRM2low	cell8
4.837714185	-10.99285072	Macrophages	RRM2low	cell9
5.622275819	-9.215431634	Macrophages	RRM2low	cell10
11.09442328	-6.63693327	Monocytes	RRM2low	cell11
4.935302248	-11.07397789	Macrophages	RRM2low	cell12
6.617843618	-9.750366631	Macrophages	RRM2low	cell13
6.092039575	-9.069449845	Macrophages	RRM2low	cell14
7.170139303	-4.799079838	DCs	RRM2low	cell15
4.747137537	-10.97382015	Macrophages	RRM2low	cell16
10.97939776	-6.420005742	Monocytes	RRM2low	cell17
5.033503046	-10.28739685	Macrophages	RRM2low	cell18
5.370243539	-9.16980404	Macrophages	RRM2low	cell19
5.617778768	-11.26836247	Macrophages	RRM2low	cell20
5.70792531	-11.10157913	Macrophages	RRM2low	cell21
4.908150663	-10.77195877	Macrophages	RRM2low	cell22
6.426308622	-10.32876343	Macrophages	RRM2low	cell23
4.96548604	-11.13194698	Macrophages	RRM2low	cell24
6.316340913	-9.8725943	Macrophages	RRM2low	cell25
5.255949011	-11.59536594	Macrophages	RRM2low	cell26
6.493138303	-10.24103493	Macrophages	RRM2low	cell27
5.109397878	-10.3665089	Macrophages	RRM2low	cell28
6.003040781	-6.854115429	DCs	RRM2low	cell29
6.174734106	-10.5369038	Macrophages	RRM2low	cell30
11.13877677	-6.475634518	Monocytes	RRM2low	cell31
6.613278856	-4.681056443	DCs	RRM2low	cell32
6.101781835	-6.680836144	DCs	RRM2low	cell33
6.706486215	-9.991435471	Macrophages	RRM2low	cell34
6.646286955	-5.17467064	DCs	RRM2low	cell35
5.462493887	-9.431116524	Macrophages	RRM2low	cell36
6.5815277	-10.0922913	Macrophages	RRM2low	cell37
4.571497907	-11.06672043	Macrophages	RRM2low	cell38
4.4624648	-10.5253529	Macrophages	RRM2low	cell39
5.673152437	-11.38149971	Macrophages	RRM2low	cell40
6.250895967	-10.88518948	Macrophages	RRM2low	cell41
6.306022157	-10.41000504	Macrophages	RRM2low	cell42
6.785623541	-9.737676087	Macrophages	RRM2low	cell43
11.26700591	-6.50558323	Monocytes	RRM2low	cell44
11.03713035	-6.436077061	Monocytes	RRM2low	cell45
6.638752451	-10.20190949	Macrophages	RRM2low	cell46
6.725924005	-5.345309201	DCs	RRM2low	cell47
6.19768094	-9.71350998	Macrophages	RRM2low	cell48
11.19354152	-6.534974518	Monocytes	RRM2low	cell49
5.369148245	-9.687574807	Macrophages	RRM2low	cell50
6.604854574	-9.897052231	Macrophages	RRM2low	cell51
6.933739652	-4.279254618	DCs	RRM2low	cell52
6.434586038	-5.30250496	DCs	RRM2low	cell53
5.816793432	-10.67515892	Macrophages	RRM2low	cell54
6.675338258	-4.973689976	DCs	RRM2low	cell55
6.177649965	-10.6010117	Macrophages	RRM2low	cell56
4.867725362	-11.26621956	Macrophages	RRM2low	cell57
4.921647062	-11.69866127	Macrophages	RRM2low	cell58
6.33438157	-9.77129406	Macrophages	RRM2low	cell59
6.541164865	-10.05113548	Macrophages	RRM2low	cell60
5.296226015	-10.66415161	Macrophages	RRM2low	cell61
5.315644254	-9.684569779	Macrophages	RRM2low	cell62
6.966847887	-5.371271554	DCs	RRM2low	cell63
6.914905061	-4.055634442	DCs	RRM2low	cell64
6.815897932	-5.21876854	DCs	RRM2low	cell65
5.035085191	-10.99880261	Macrophages	RRM2low	cell66
6.64651679	-6.182684842	DCs	RRM2low	cell67
5.704441061	-9.369670334	Macrophages	RRM2low	cell68
5.804107656	-11.24824471	Macrophages	RRM2low	cell69
5.544853677	-9.74779171	Macrophages	RRM2low	cell70
7.22167634	-6.486378136	DCs	RRM2low	cell71
6.722992887	-6.990529957	DCs	RRM2low	cell72
5.703966608	-8.815548363	Macrophages	RRM2low	cell73
5.169029226	-10.3714146	Macrophages	RRM2low	cell74
5.238002767	-9.638814393	Macrophages	RRM2low	cell75
10.84888362	-6.510383549	Monocytes	RRM2low	cell76
