Group	CellType	Freq
RRM2low	nonMalignant	0.018455939693267483
RRM2high	nonMalignant	0.03335551119982258
Normal	nonMalignant	0.04267549870564946
RRM2low	Malignant	0.07789619617017589
RRM2high	Malignant	0.26666666666666666
Normal	Malignant	0
RRM2low	BCs	0.034139156052335154
RRM2high	BCs	0.06861831891772012
Normal	BCs	0.07438708694990102
RRM2low	CD4s	0.20032926089593622
RRM2high	CD4s	0.1624306941672211
Normal	CD4s	0.139409167047358
RRM2low	CD8s	0.2673945065418941
RRM2high	CD8s	0.15462408516300732
Normal	CD8s	0.3481422262829298
RRM2low	NKs	0.04349709730525951
RRM2high	NKs	0.023730317143490796
Normal	NKs	0.06266179381757271
RRM2low	Monocytes	0.04774282991075297
RRM2high	Monocytes	0.028653803504102904
Normal	Monocytes	0.0682198873153647
RRM2low	Macrophages	0.14912052681743349
RRM2high	Macrophages	0.152140164116212
Normal	Macrophages	0.09444952032891732
RRM2low	DCs	0.053721514600121305
RRM2high	DCs	0.03237968507429585
Normal	DCs	0.06997106745850465
RRM2low	Masts	0.006238627501949571
RRM2high	Masts	0.00368152583721446
Normal	Masts	0.0032739454850007612
RRM2low	ECs	0.08604107096438783
RRM2high	ECs	0.031847416278554
Normal	ECs	0.08394243947007766
RRM2low	Fibs	0.015423273546486439
RRM2high	Fibs	0.04187181193169217
Normal	Fibs	0.012867367138723922
