#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACSL1	ACSL4	9606.ENSP00000422607	9606.ENSP00000339787	0	0	0.143	0.775	0.082	0.066	0.6	0.34	0.77
ACSL1	ACSL5	9606.ENSP00000422607	9606.ENSP00000348429	0	0	0.058	0.964	0.067	0.098	0.6	0.105	0.665
ACSL4	HMOX1	9606.ENSP00000339787	9606.ENSP00000216117	0	0	0	0	0	0	0	0.419	0.418
ACSL4	FTH1	9606.ENSP00000339787	9606.ENSP00000273550	0	0	0	0	0	0	0	0.62	0.62
ACSL4	SAT1	9606.ENSP00000339787	9606.ENSP00000368572	0	0	0	0	0.07	0	0	0.393	0.411
ACSL4	STEAP3	9606.ENSP00000339787	9606.ENSP00000376822	0	0	0	0	0.058	0	0	0.524	0.533
ACSL4	PTGS2	9606.ENSP00000339787	9606.ENSP00000356438	0	0	0	0	0.11	0.069	0	0.489	0.54
ACSL4	ACSL5	9606.ENSP00000339787	9606.ENSP00000348429	0	0	0.145	0.772	0.057	0.066	0.6	0.267	0.739
ACSL4	ACSL1	9606.ENSP00000339787	9606.ENSP00000422607	0	0	0.143	0.775	0.082	0.066	0.6	0.34	0.77
ACSL5	ACSL4	9606.ENSP00000348429	9606.ENSP00000339787	0	0	0.145	0.772	0.057	0.066	0.6	0.267	0.739
ACSL5	ACSL1	9606.ENSP00000348429	9606.ENSP00000422607	0	0	0.058	0.964	0.067	0.098	0.6	0.105	0.665
CYBB	HMOX1	9606.ENSP00000367851	9606.ENSP00000216117	0	0	0	0	0.072	0	0	0.703	0.712
CYBB	PTGS2	9606.ENSP00000367851	9606.ENSP00000356438	0	0	0	0	0.088	0.052	0	0.678	0.698
FTH1	HMOX1	9606.ENSP00000273550	9606.ENSP00000216117	0.089	0	0	0	0.108	0	0	0.657	0.697
FTH1	PTGS2	9606.ENSP00000273550	9606.ENSP00000356438	0	0	0	0	0.079	0	0	0.377	0.401
FTH1	MAP1LC3B	9606.ENSP00000273550	9606.ENSP00000498476	0	0	0	0	0.137	0.082	0	0.313	0.408
FTH1	SAT1	9606.ENSP00000273550	9606.ENSP00000368572	0	0	0	0	0.151	0	0	0.404	0.473
FTH1	STEAP3	9606.ENSP00000273550	9606.ENSP00000376822	0	0	0	0	0.062	0	0	0.584	0.593
FTH1	ACSL4	9606.ENSP00000273550	9606.ENSP00000339787	0	0	0	0	0	0	0	0.62	0.62
HMOX1	ACSL4	9606.ENSP00000216117	9606.ENSP00000339787	0	0	0	0	0	0	0	0.419	0.418
HMOX1	MAP1LC3B	9606.ENSP00000216117	9606.ENSP00000498476	0	0	0	0	0.127	0	0	0.464	0.512
HMOX1	SAT1	9606.ENSP00000216117	9606.ENSP00000368572	0	0	0	0	0.097	0	0	0.484	0.514
HMOX1	STEAP3	9606.ENSP00000216117	9606.ENSP00000376822	0	0	0	0	0.074	0	0	0.502	0.519
HMOX1	FTH1	9606.ENSP00000216117	9606.ENSP00000273550	0.089	0	0	0	0.108	0	0	0.657	0.697
HMOX1	CYBB	9606.ENSP00000216117	9606.ENSP00000367851	0	0	0	0	0.072	0	0	0.703	0.712
HMOX1	PTGS2	9606.ENSP00000216117	9606.ENSP00000356438	0	0	0	0	0.073	0	0	0.782	0.789
MAP1LC3A	MAP1LC3B	9606.ENSP00000363970	9606.ENSP00000498476	0	0	0.055	0.971	0.048	0.615	0.5	0.318	0.86
MAP1LC3B	HMOX1	9606.ENSP00000498476	9606.ENSP00000216117	0	0	0	0	0.127	0	0	0.464	0.512
MAP1LC3B	FTH1	9606.ENSP00000498476	9606.ENSP00000273550	0	0	0	0	0.137	0.082	0	0.313	0.408
MAP1LC3B	MAP1LC3A	9606.ENSP00000498476	9606.ENSP00000363970	0	0	0.055	0.971	0.048	0.615	0.5	0.318	0.86
PTGS2	HMOX1	9606.ENSP00000356438	9606.ENSP00000216117	0	0	0	0	0.073	0	0	0.782	0.789
PTGS2	FTH1	9606.ENSP00000356438	9606.ENSP00000273550	0	0	0	0	0.079	0	0	0.377	0.401
PTGS2	ACSL4	9606.ENSP00000356438	9606.ENSP00000339787	0	0	0	0	0.11	0.069	0	0.489	0.54
PTGS2	CYBB	9606.ENSP00000356438	9606.ENSP00000367851	0	0	0	0	0.088	0.052	0	0.678	0.698
SAT1	HMOX1	9606.ENSP00000368572	9606.ENSP00000216117	0	0	0	0	0.097	0	0	0.484	0.514
SAT1	FTH1	9606.ENSP00000368572	9606.ENSP00000273550	0	0	0	0	0.151	0	0	0.404	0.473
SAT1	ACSL4	9606.ENSP00000368572	9606.ENSP00000339787	0	0	0	0	0.07	0	0	0.393	0.411
SAT1	STEAP3	9606.ENSP00000368572	9606.ENSP00000376822	0	0	0	0	0	0	0	0.491	0.491
STEAP3	HMOX1	9606.ENSP00000376822	9606.ENSP00000216117	0	0	0	0	0.074	0	0	0.502	0.519
STEAP3	FTH1	9606.ENSP00000376822	9606.ENSP00000273550	0	0	0	0	0.062	0	0	0.584	0.593
STEAP3	ACSL4	9606.ENSP00000376822	9606.ENSP00000339787	0	0	0	0	0.058	0	0	0.524	0.533
STEAP3	SAT1	9606.ENSP00000376822	9606.ENSP00000368572	0	0	0	0	0	0	0	0.491	0.491
